iter	RMSE
0	0.4695581436
1	0.4642404053
2	0.4597989008
3	0.4552423328
4	0.450409908
5	0.4462181389
6	0.4419082687
7	0.4381862369
8	0.4343294323
9	0.4307345718
10	0.4271874773
11	0.4237786948
12	0.4204753279
13	0.4172927801
14	0.4143058621
15	0.411329269
16	0.4083855712
17	0.4056447983
18	0.4032063564
19	0.4008562126
20	0.3985969883
21	0.3963554735
22	0.394249272
23	0.3924373171
24	0.3906607235
25	0.3887236211
26	0.3869064963
27	0.3851832147
28	0.3835330831
29	0.3818449938
30	0.3803259917
31	0.3789121075
32	0.3776275828
33	0.3763650013
34	0.375033894
35	0.3737829253
36	0.372545264
37	0.3714633755
38	0.370342505
39	0.3693894207
40	0.3683952366
41	0.3674676032
42	0.3665570156
43	0.3657194264
44	0.364945662
45	0.3640899473
46	0.3632714027
47	0.3625231712
48	0.3617707215
49	0.3610339547
50	0.3603610314
51	0.3597523552
52	0.3591223811
53	0.3585464844
54	0.357948817
55	0.3574355971
56	0.3569487295
57	0.3563835838
58	0.3558928014
59	0.3554552236
60	0.3549861586
61	0.3544424882
62	0.353979653
63	0.3535967728
64	0.3531179351
65	0.3526971885
66	0.3523559502
67	0.3520597947
68	0.3516809025
69	0.351306163
70	0.3509513656
71	0.3506487152
72	0.3502657123
73	0.3499421884
74	0.3495775578
75	0.3492143852
76	0.3488385378
77	0.3484820639
78	0.3481172938
79	0.3478757153
80	0.34763173
81	0.3474014319
82	0.347157396
83	0.3469132428
84	0.3466596384
85	0.346392058
86	0.3461111732
87	0.3458799843
88	0.3456267183
89	0.3453472838
90	0.3450669387
91	0.3447874185
92	0.3445873384
93	0.3444154044
94	0.3442042978
95	0.3439918156
96	0.3438070399
97	0.3436213995
98	0.3434588883
99	0.3432862053
100	0.3431197077
101	0.3429491316
102	0.3427631991
103	0.3426006332
104	0.3424523208
105	0.3422681028
106	0.3421026634
107	0.3419176841
108	0.3417474004
109	0.341590472
110	0.3414198723
111	0.3412584659
112	0.3410529538
113	0.3409220102
114	0.3407926967
115	0.3406609409
116	0.3404326033
117	0.3402858552
118	0.3401330637
119	0.3400126115
120	0.3398777732
121	0.3396792282
122	0.3395595568
123	0.3393850509
124	0.3392473453
125	0.3391065987
126	0.3390088927
127	0.3388483463
128	0.3387367127
129	0.3385917009
130	0.3384468967
131	0.3383726472
132	0.338257092
133	0.338122483
134	0.3378482236
135	0.3377023279
136	0.3375033131
137	0.3373538639
138	0.3372460975
139	0.3370257666
140	0.3368474017
141	0.3367516928
142	0.336516796
143	0.3364053126
144	0.3362412796
145	0.3360401402
146	0.3358510639
147	0.3357432941
148	0.3356474323
149	0.3354459833
150	0.3353442177
151	0.3352006191
152	0.3350722921
153	0.3349134836
154	0.334754554
155	0.3345755671
156	0.3343601772
157	0.3342493277
158	0.3340883305
159	0.3337720626
160	0.3335713736
161	0.3334154255
162	0.3332807119
163	0.3331544025
164	0.3330333077
165	0.3329040122
166	0.332827185
167	0.3327122692
168	0.3325066105
169	0.3323655902
170	0.3321851334
171	0.3320951011
172	0.3318378562
173	0.3316666901
174	0.3314915117
175	0.3313771581
176	0.331281621
177	0.3311741138
178	0.3310334662
179	0.3308432479
180	0.3306740237
181	0.330524935
182	0.3303242505
183	0.3302104775
184	0.3300350695
185	0.329920054
186	0.329735556
187	0.3295601646
188	0.3293391471
189	0.3292180803
190	0.3291037083
191	0.3289819483
192	0.3286962622
193	0.3285919007
194	0.328480139
195	0.3282546532
196	0.3281787141
197	0.3280515962
198	0.3279622448
199	0.3278424803
200	0.3276952898
201	0.3276119245
202	0.3274293239
203	0.3272894859
204	0.3271773301
205	0.32703147
206	0.326752522
207	0.3265746464
208	0.3264226332
209	0.3262496293
210	0.3261368979
211	0.3259782618
212	0.3258037911
213	0.3257307451
214	0.3255935697
215	0.3254445423
216	0.3252136439
217	0.3250917586
218	0.3249369193
219	0.3248675808
220	0.3247300419
221	0.3245343136
222	0.3243140597
223	0.3242276168
224	0.3240453247
225	0.3239148323
226	0.3237825731
227	0.3236217234
228	0.3233981063
229	0.3231653083
230	0.3230923743
231	0.3229245759
232	0.3227374358
233	0.3226314758
234	0.3224858204
235	0.3224187029
236	0.322244834
237	0.3221467035
238	0.3220277794
239	0.3218970986
240	0.321723146
241	0.3215367491
242	0.3214175444
243	0.3212670389
244	0.3210011814
245	0.3208780651
246	0.3207003736
247	0.3204859265
248	0.3203484338
249	0.3202354519
250	0.3201347205
251	0.3199239814
252	0.3198117443
253	0.3197124166
254	0.3195992337
255	0.3194351771
256	0.319309243
257	0.3191395525
258	0.3189598978
259	0.3188131516
260	0.318652959
261	0.3185312696
262	0.3184673541
263	0.3182621569
264	0.3182166856
265	0.3180749817
266	0.3178636359
267	0.3177685157
268	0.3175427405
269	0.317424888
270	0.317333238
271	0.3172521594
272	0.3170915377
273	0.3169450962
274	0.3168514603
275	0.3166850694
276	0.316502027
277	0.3164214866
278	0.3162533361
279	0.3161175025
280	0.3160432352
281	0.3159197113
282	0.3158056295
283	0.3157104134
284	0.3155034208
285	0.3154015918
286	0.3152146884
287	0.3150840404
288	0.3149675628
289	0.3148484409
290	0.3147735019
291	0.3146064629
292	0.3144789608
293	0.3143735311
294	0.3142538059
295	0.314144922
296	0.314083519
297	0.3139560014
298	0.3138674581
299	0.3137447252
300	0.3135420492
301	0.3134810091
302	0.3134317808
303	0.3133077978
304	0.3131851612
305	0.3130728695
306	0.3129542252
307	0.312772766
308	0.3126646113
309	0.3124869566
310	0.3123908215
311	0.3123056454
312	0.312147741
313	0.3119703689
314	0.3119054513
315	0.3117617894
316	0.3116388279
317	0.3114655399
318	0.3113405686
319	0.3111704481
320	0.3110133761
321	0.3109372353
322	0.3108493358
323	0.3106463818
324	0.3104234566
325	0.3102663055
326	0.3101146104
327	0.3100365543
328	0.3099884414
329	0.3098088884
330	0.3096907418
331	0.3094263565
332	0.3092680373
333	0.3090814796
334	0.3089209606
335	0.3088263788
336	0.3087113144
337	0.3085231151
338	0.3083336975
339	0.3081888569
340	0.3080728454
341	0.3078877446
342	0.3078251334
343	0.3077080455
344	0.3076531618
345	0.3075560002
346	0.3074550116
347	0.3073695983
348	0.3072210756
349	0.307006464
350	0.3068844799
351	0.3068150591
352	0.3067002331
353	0.306636024
354	0.3064669332
355	0.3063920526
356	0.3063068618
357	0.3061978834
358	0.3061075562
359	0.3059369845
360	0.3058127864
361	0.3057281533
362	0.3055807356
363	0.3054007939
364	0.3052088235
365	0.3051219465
366	0.3050383157
367	0.3048981005
368	0.3048441841
369	0.3046574879
370	0.3045603104
371	0.3044844074
372	0.3043919382
373	0.3043328671
374	0.3042457637
375	0.3041946217
376	0.3041344264
377	0.304041951
378	0.3039025542
379	0.3037693705
380	0.3036049281
381	0.3035533657
382	0.3033685789
383	0.3030904083
384	0.3029916301
385	0.3028972725
386	0.3027704392
387	0.3026788029
388	0.302588953
389	0.3025221505
390	0.3024380488
391	0.3023605147
392	0.3022345567
393	0.3021509495
394	0.3020614311
395	0.3019780275
396	0.3018462827
397	0.3017358033
398	0.3015656717
