iter	Passed	Remaining
0	0	210
1	0	204
2	0	201
3	1	201
4	1	200
5	1	198
6	2	197
7	2	197
8	2	201
9	3	202
10	3	202
11	3	203
12	4	202
13	4	201
14	4	201
15	5	200
16	5	199
17	5	199
18	6	198
19	6	198
20	6	198
21	7	201
22	7	201
23	8	201
24	8	201
25	8	200
26	9	200
27	9	200
28	9	202
29	10	202
30	10	201
31	11	215
32	12	225
33	12	224
34	13	223
35	13	221
36	14	222
37	14	222
38	14	220
39	14	219
40	15	218
41	15	217
42	15	216
43	16	215
44	16	214
45	16	213
46	17	211
47	17	210
48	17	209
49	18	209
50	18	208
51	18	207
52	19	206
53	19	205
54	19	204
55	20	205
56	20	205
57	20	204
58	21	203
59	21	203
60	21	202
61	22	202
62	22	202
63	23	202
64	23	201
65	23	201
66	24	200
67	24	199
68	24	199
69	25	198
70	25	198
71	25	197
72	25	196
73	26	195
74	26	195
75	26	194
76	27	194
77	27	194
78	28	194
79	28	194
80	28	193
81	29	193
82	29	192
83	29	191
84	30	191
85	30	190
86	30	190
87	31	189
88	31	189
89	31	188
90	32	188
91	32	188
92	32	187
93	33	186
94	33	186
95	33	186
96	34	185
97	34	185
98	34	184
99	35	184
100	35	183
101	35	183
102	36	183
103	36	182
104	36	182
105	37	181
106	37	181
107	37	180
108	38	180
109	38	179
110	38	179
111	38	178
112	39	178
113	39	178
114	39	177
115	40	177
116	40	176
117	41	176
118	41	176
119	41	176
120	42	175
121	42	175
122	43	177
123	43	177
124	44	177
125	44	176
126	44	176
127	45	176
128	45	175
129	45	175
130	46	174
131	46	174
132	46	173
133	47	173
134	47	172
135	47	172
136	48	171
137	48	171
138	48	170
139	49	170
140	49	169
141	49	169
142	50	168
143	50	168
144	50	168
145	51	167
146	51	167
147	51	166
148	51	166
149	52	165
150	52	165
151	52	165
152	53	164
153	53	164
154	53	163
155	54	163
156	54	163
157	55	163
158	55	162
159	55	162
160	56	161
161	56	161
162	56	161
163	57	160
164	57	160
165	57	160
166	58	159
167	58	159
168	58	159
169	59	158
170	59	158
171	60	158
172	60	157
173	60	157
174	60	157
175	61	156
176	61	156
177	62	156
178	62	156
179	62	155
180	63	155
181	63	154
182	63	154
183	64	153
184	64	153
185	64	153
186	65	152
187	65	152
188	65	151
189	65	151
190	66	150
191	66	150
192	66	150
193	67	149
194	67	149
195	67	148
196	68	148
197	68	148
198	68	147
199	69	147
200	69	147
201	69	146
202	70	146
203	70	145
204	70	145
205	71	145
206	71	144
207	71	144
208	72	145
209	73	145
210	73	144
211	73	144
212	74	144
213	74	143
214	75	143
215	75	143
216	75	142
217	76	142
218	76	141
219	76	141
220	77	141
221	77	140
222	77	140
223	77	139
224	78	139
225	78	139
226	78	138
227	79	138
228	79	137
229	79	137
230	80	136
231	80	136
232	80	136
233	81	135
234	81	135
235	81	134
236	81	134
237	82	134
238	82	133
239	82	133
240	83	133
241	83	132
242	83	132
243	84	131
244	84	131
245	84	131
246	85	130
247	85	130
248	85	130
249	86	129
250	86	129
251	86	128
252	88	130
253	88	130
254	89	129
255	89	129
256	89	129
257	90	128
258	90	128
259	91	128
260	91	127
261	91	127
262	92	127
263	92	126
264	92	126
265	93	126
266	93	125
267	93	125
268	94	124
269	94	124
270	94	124
271	95	123
